,Regularization,Test_Precision,Test_Recall,Test_Score,Train_Precision,Train_Recall,Train_Score,Dropped_Columns,Hypothetical_Score
0,0.01,0.9224293347978907,0.7257383966244726,0.8118381932574981,0.9590347016878814,0.8020192887281494,0.8734930422615695,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.818887736316235
0,0.01,0.9074284499763718,0.7232067510548523,0.8044597501855879,0.9575817427700495,0.7994775969459513,0.8713358038838056,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8203157996870418
0,0.01,0.9077602108036891,0.7232392080493346,0.8040481544111419,0.9604896117799411,0.80138838657826,0.8737359962626219,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8180133921280417
0,0.01,0.9023419485134341,0.7257708536189549,0.8039657892142363,0.9554604279997134,0.8020152702431183,0.8719638788634743,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8130503558346834
0,0.01,0.8994992104669525,0.7257708536189549,0.8031160490326951,0.9639811705864437,0.7975808720112517,0.8728921231149517,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8167810831426392
0,0.01,0.9079525929250988,0.7232392080493346,0.8043926723521828,0.9584244275044631,0.8032931484830218,0.8739943486243391,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8139543742904649
0,0.01,0.9107409993630264,0.7206751054852321,0.803838290804077,0.9603890860188183,0.7994796061884669,0.8725326005535627,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8176813981222659
0,0.01,0.9013858394726025,0.7181434599156118,0.7990029170182884,0.9596645045583498,0.797574844283705,0.8710500405351305,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8165050162015712
0,0.01,0.9107214527037373,0.7232067510548523,0.8053529473511969,0.9638618744894041,0.7924974884468555,0.8697205786633873,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8161305185131355
0,0.01,0.9024825047828873,0.7258033106134372,0.8039008127262871,0.9613875734389715,0.8001185453084186,0.8732579346985293,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8146272061523394
0,0.01,0.9054991500179354,0.7257383966244726,0.8048708800519542,0.9620128632998581,0.8026662648181635,0.8751362197592938,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8178815859057849
0,0.01,0.9133160296786592,0.7206426484907498,0.8048316693155065,0.9585582679863309,0.8026542093630701,0.8735815600187294,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8124763218345363
0,0.01,0.9117400040204144,0.7308016877637131,0.8107237145383042,0.9606066955346965,0.8026562186055857,0.8745133702949502,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8160372784933386
0,0.01,0.9194522745991766,0.7232067510548523,0.8091162028938627,0.960334425891384,0.7982198111312035,0.8717750902863622,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8188356574957201
0,0.01,0.9059212248217936,0.7257708536189549,0.8049001519253395,0.9578125038439055,0.8051979103877838,0.8748349207410933,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8141650719354481
